Size,CPU_Scan,Naive_Scan,Efficient_Scan,Thrust_Scan,CPU_Compact,Efficient_Compact
256,0.001,0.87,0.422,1.711,0.001,0.539
512,0.001,0.326,0.374,0.993,0.002,1.896
1024,0.002,0.436,0.893,1.028,0.004,0.568
2048,0.003,0.592,0.398,1.551,0.007,0.704
4096,0.007,0.565,0.487,1.013,0.013,0.554
8192,0.013,1.638,0.813,1.065,0.024,0.613
16384,0.028,0.707,1.332,1.176,0.049,0.859
32768,0.052,0.951,0.969,1.026,0.097,1.064
65536,0.104,1.832,1.689,1.53,0.209,2.159
131072,0.214,2.534,2.997,1.611,0.395,4.76
262144,0.421,6.051,5.44,2.923,0.779,6.199
524288,0.831,9.991,12.117,5.033,1.587,14.512
1048576,1.689,17.424,25.275,9.339,3.249,21.335
2097152,3.424,38.886,39.454,20.493,7.051,42.511
4194304,6.685,70.645,75.501,35.332,12.186,82.124
